epoch,train_loss,val_loss,test_loss,avg_train_error,avg_val_error,test_accuracy
1,0.087202,0.085606,0.086553,0.496258,0.492224,0.525000
2,0.085568,0.084964,0.086305,0.490251,0.488066,0.525000
3,0.086367,0.084399,0.086557,0.492894,0.485072,0.546429
4,0.086082,0.084296,0.086380,0.490886,0.483062,0.542857
5,0.085612,0.084090,0.086966,0.488538,0.481591,0.539286
6,0.086311,0.084245,0.087429,0.491401,0.482544,0.525000
7,0.085907,0.084045,0.087696,0.489438,0.481446,0.528571
8,0.086072,0.085201,0.086910,0.490170,0.488699,0.510714
9,0.086058,0.084319,0.087759,0.489896,0.483002,0.535714
10,0.085587,0.084703,0.087343,0.488544,0.486623,0.525000
11,0.085468,0.084729,0.087477,0.486885,0.485572,0.517857
12,0.086015,0.083822,0.087920,0.489510,0.480558,0.514286
13,0.085535,0.084323,0.087668,0.487607,0.482997,0.525000
14,0.084930,0.084293,0.087662,0.484713,0.483394,0.528571
15,0.085041,0.084292,0.087963,0.484386,0.483807,0.535714
16,0.084860,0.084369,0.087881,0.485039,0.483142,0.517857
17,0.085326,0.084913,0.087221,0.485937,0.487562,0.500000
18,0.085853,0.084369,0.087728,0.488220,0.483091,0.532143
19,0.085236,0.084534,0.087217,0.485903,0.485356,0.539286
20,0.085209,0.084080,0.088825,0.485573,0.478608,0.528571
21,0.084795,0.084740,0.087856,0.484085,0.485822,0.507143
22,0.085575,0.085048,0.087812,0.486012,0.486451,0.503571
23,0.085377,0.084940,0.087833,0.485975,0.485258,0.507143
24,0.085085,0.084691,0.087635,0.484101,0.483928,0.503571
25,0.085374,0.084577,0.088377,0.485848,0.484235,0.510714
26,0.084761,0.084617,0.087711,0.483361,0.485543,0.528571
27,0.084471,0.084411,0.087838,0.482131,0.484977,0.489286
28,0.085011,0.084428,0.088818,0.484087,0.481516,0.535714
29,0.085124,0.084435,0.088303,0.484772,0.483067,0.535714
30,0.085130,0.084662,0.087991,0.484103,0.485700,0.507143
31,0.085324,0.084451,0.088843,0.485720,0.480946,0.517857
32,0.085141,0.084314,0.087923,0.484825,0.484181,0.539286
33,0.084327,0.084387,0.089047,0.481774,0.480758,0.532143
34,0.084683,0.084689,0.087847,0.482898,0.485549,0.503571
35,0.084654,0.084445,0.088145,0.483041,0.482798,0.517857
36,0.084473,0.084378,0.087870,0.482620,0.483310,0.539286
37,0.085078,0.085386,0.087534,0.484695,0.489984,0.514286
38,0.084049,0.084708,0.087571,0.480898,0.486533,0.517857
39,0.085022,0.084922,0.089868,0.484611,0.480165,0.528571
40,0.084826,0.084877,0.087261,0.483285,0.486820,0.489286
41,0.085142,0.084577,0.088643,0.484988,0.483895,0.517857
42,0.084867,0.084750,0.087968,0.484041,0.485775,0.517857
43,0.084743,0.084676,0.088426,0.484190,0.483405,0.521429
44,0.084827,0.084412,0.090651,0.484328,0.479897,0.550000
45,0.084732,0.084873,0.089156,0.483898,0.481135,0.514286
46,0.084823,0.084836,0.088396,0.484050,0.485409,0.492857
47,0.084419,0.084541,0.088102,0.482676,0.482512,0.528571
48,0.084301,0.085064,0.088041,0.481260,0.487162,0.532143
49,0.084981,0.084431,0.089843,0.484422,0.481013,0.535714
50,0.085162,0.085019,0.086762,0.485059,0.488377,0.528571
