epoch,train_loss,val_loss,test_loss
0,133.71275854110718,10.71958065032959,0.6403294801712036
1,121.07807125151157,10.808467864990234,0.4651850759983063
2,118.2559683918953,10.382235527038574,0.4210383892059326
3,128.74249267578125,10.167633056640625,0.38662147521972656
4,119.25555729866028,10.125417709350586,0.36552420258522034
5,220.6393280029297,10.094451904296875,0.572656512260437
6,107.09174078702927,9.981449127197266,0.5917171239852905
7,122.93330526351929,10.051619529724121,0.6318506598472595
8,115.09535026550293,10.040824890136719,0.6170064210891724
9,119.02593564987183,10.071691513061523,0.62175452709198
10,238.7960662841797,10.005871772766113,0.6251846551895142
11,258.10523223876953,9.984959602355957,0.5478677749633789
12,122.90671253204346,9.913814544677734,0.5296388864517212
13,116.47639799118042,9.869678497314453,0.5006796717643738
14,217.15524291992188,9.715185165405273,0.4952346384525299
15,319.83758544921875,9.675745010375977,0.6088240742683411
16,119.50646162033081,9.723122596740723,0.5037616491317749
17,218.1119384765625,9.721244812011719,0.5174387693405151
18,112.5878537595272,9.649923324584961,0.4883287847042084
19,125.65078163146973,9.596494674682617,0.38720938563346863
20,221.03369903564453,9.479789733886719,0.42352360486984253
21,248.23854064941406,9.468259811401367,0.4526754319667816
22,126.41805267333984,9.455322265625,0.34337058663368225
23,231.251953125,9.511551856994629,0.32493123412132263
24,121.77939796447754,9.474167823791504,0.30930739641189575
25,113.01895260810852,9.450780868530273,0.2963862419128418
26,217.607421875,9.426202774047852,0.35099998116493225
27,117.43365478515625,9.379973411560059,0.32588061690330505
28,220.2104949951172,9.40471076965332,0.32888278365135193
29,111.4253146648407,9.448652267456055,0.30842652916908264
30,227.6910858154297,9.48784065246582,0.36067962646484375
31,214.75963592529297,9.476999282836914,0.35344764590263367
32,119.06164169311523,9.473819732666016,0.34351128339767456
33,113.42133808135986,9.521394729614258,0.3525558114051819
34,210.2665023803711,9.438931465148926,0.4337814748287201
35,249.68609619140625,9.422402381896973,0.2978335916996002
36,124.42123126983643,9.422447204589844,0.26679831743240356
37,326.4526252746582,9.33495807647705,0.3251306712627411
38,107.7875645160675,9.357298851013184,0.3280799686908722
39,107.12700080871582,9.313309669494629,0.302656352519989
